docid.doc,sg
CACZ885I2202-4735,y
CAIN457A2302-11643,n
CAIN457A2303-13605,n
CAIN457A2317-16409,y
CAIN457F2302#E1-14947,n
CAIN457F2306-14231,dk
CAIN457F2309-14527,dk
CCIB002I2301-2612,dk
CCOX189A2360-1553,dk
CCOX189A2361-1552,dk
CCOX189A2361E1-1882,dk
CDAR328A2401-2043,dk
CDAR328A2409-2354,dk
CDJN608B2302-3223,dk
CELC200A2401-2791,dk
CENA713BIA05-2240,dk
CENA713D2320-2255,dk
CFOR258D2416-15408,dk
CFOR258F2402-2303,dk
CFTY720DUS09-15134,dk
CIGE025A2313-12883,dk
CIGE025A2425-2754,dk
CLAF237A1301-2524,dk
CLAF237A2303-2283,dk
CLAF237A2304-2286,dk
CLAF237A2308-2649,dk
CLAF237A2310-2634,dk
CLAF237A23103-2586,dk
CLAF237A23104-2654,dk
CLAF237A23118-9563,dk
CLAF237A23119-2567,dk
CLAF237A23135-7264,dk
CLAF237A23137-4598,dk
CLAF237A23150-7663,dk
CLAF237A23152-7383,dk
CLAF237A2323-2428,dk
CLAF237A2338-2851,dk
CLAF237A2355-2284,dk
CLAF237A2411-12463,dk
CLAF237ACN01-13204,dk
